ID;Coil;Prozessabfolge;Ausklinkungen;Richten
1998;C1E;links - halten, rechts;deaktiviert;deaktiviert
1999;C1E;links - halten, rechts;deaktiviert;deaktiviert
2000;C1E;links - halten, rechts;deaktiviert;deaktiviert
2001;C1E;simultan;aktiviert;deaktiviert
2002;C1E;simultan;aktiviert;deaktiviert
2003;C1E;simultan;aktiviert;deaktiviert
2004;C1E;simultan;aktiviert;deaktiviert
2005;C1E;simultan;aktiviert;deaktiviert
2006;C1E;simultan;aktiviert;deaktiviert
2007;C1E;simultan;aktiviert;deaktiviert
2008;C1E;simultan;aktiviert;deaktiviert
2009;C1E;simultan;aktiviert;deaktiviert
2010;C1E;simultan;aktiviert;deaktiviert
2011;C1E;simultan;aktiviert;deaktiviert
2012;C1E;simultan;aktiviert;deaktiviert
2013;C1E;simultan;aktiviert;deaktiviert
2014;C1E;simultan;aktiviert;deaktiviert
2015;C1E;simultan;aktiviert;deaktiviert
2016;C1E;simultan;aktiviert;deaktiviert
2017;C1E;simultan;aktiviert;deaktiviert
2018;C1E;simultan;aktiviert;deaktiviert
2019;C1E;simultan;aktiviert;deaktiviert
2020;C1E;simultan;aktiviert;deaktiviert
2021;C1E;simultan;aktiviert;deaktiviert
2022;C1E;simultan;aktiviert;deaktiviert
2023;C1E;simultan;aktiviert;deaktiviert
2024;C1E;simultan;aktiviert;deaktiviert
2025;C1E;simultan;aktiviert;deaktiviert
2026;C1E;simultan;aktiviert;aktiviert
2027;C1E;simultan;aktiviert;aktiviert
2028;C1E;simultan;aktiviert;aktiviert
2029;C1E;simultan;aktiviert;aktiviert
2030;C1E;simultan;aktiviert;aktiviert
2031;C1E;simultan;aktiviert;aktiviert
2032;C1E;simultan;aktiviert;aktiviert
2033;C1E;simultan;aktiviert;aktiviert
2034;C1E;simultan;aktiviert;aktiviert
2035;C1E;simultan;aktiviert;aktiviert
2036;C1E;simultan;aktiviert;aktiviert
2037;C1E;simultan;aktiviert;aktiviert
2038;C1E;simultan;aktiviert;aktiviert
2039;C1E;simultan;aktiviert;aktiviert
2040;C1E;simultan;aktiviert;aktiviert
2041;C1E;simultan;aktiviert;aktiviert
2042;C1E;simultan;aktiviert;aktiviert
2043;C1E;simultan;aktiviert;aktiviert
2044;C1E;simultan;aktiviert;aktiviert
2045;C1E;simultan;aktiviert;aktiviert
