ID;VR;PNC01-Drehmoment;PNC03-Drehmoment;PNC05-Drehmoment;PresseSpindel1-Drehmoment;PresseSpindel2-Drehmoment;PNC01-Weg;PNC03-Weg;PNC05-Weg;L1;L2;L3;L4;L5;a1;a2;a3;a4;R1;R2;R3;R4
706;29;5,09;4,25;11,86;92;122,5;;34,02;51,029;17,94490458;10,23123017;25,07469022;5,816602251;17,13845418;125,5170887;121,1081266;96,82328745;97,14924424;3,777134487;2,097346928;2,688041451;3,451809087
707;29;5,2;4,3;12,57;91,8;122,7;;34,02;51,029;18,13172795;10,24558786;25,18868219;5,860931387;17,26497354;125,589449;120,5674172;97,26490196;97,98009763;3,687265655;2,155656789;2,553013396;3,418293636
708;29;5,15;4,33;12,64;91,6;121,8;;34,019;51,029;18,12675749;10,18158773;25,04880441;5,855501618;17,26028724;125,2610006;120,424984;97,30178151;98,1694801;3,549472102;2,271102503;2,5753242;3,479129979
709;29;5,32;4,45;12,41;91,5;122,4;;34,019;51,029;18,13256885;10,24543599;25,05566195;5,92103912;17,31505904;125,6511969;120,7569834;97,07487073;98,00039049;3,685921786;2,212534141;2,570084731;3,374078367
710;29;5,01;4,33;12,23;92,2;123,5;;34,02;51,029;18,02382241;10,2029908;25,17846093;5,965860811;17,31805522;125,7574214;120,9956475;97,35119245;98,32024962;3,751602577;2,174282602;2,5232979;3,407579516
711;29;5,25;4,32;11,53;92,6;123;;34,02;51,029;18,00686734;10,27117177;25,37042714;5,703712697;17,52869545;125,3590967;120,7308227;96,68344477;97,3527929;3,691051337;2,040626116;2,591960179;3,381590366
712;29;5,38;4,34;10,7;92,8;122,8;;34,02;51,029;17,84767048;10,26914897;24,82436681;5,919290001;17,3609745;125,7323188;121,1304242;97,41882028;98,2063718;3,877237838;2,359855051;2,665288841;3,365734785
713;29;5,21;4,32;11,11;92,3;123,2;;34,02;51,029;17,84477939;10,28343819;25,12293976;5,840083793;17,30616145;125,6156948;120,9864978;96,90407541;97,74925569;3,754930889;2,096185554;2,592424467;3,415921949
714;29;5,08;4,39;11,43;92,3;122,8;;34,02;51,029;17,94995497;10,27601796;25,16049727;5,934710637;17,38028373;125,5924203;120,9903526;96,8476438;97,85424434;3,776927442;1,979163335;2,628556775;3,307020973
715;29;5,24;4,42;11,36;92,6;123;;34,02;51,029;17,95452329;10,17081295;25,08639945;5,762622318;17,34233734;125,3995532;120,6665304;97,18421986;98,17264949;3,754727777;2,078600211;2,692289425;3,428609573
716;29;5,09;4,32;11,75;93,2;123;;34,02;51,029;17,90511915;10,16874407;25,15321669;5,78864565;17,3050291;125,2142917;120,5955354;96,8190473;97,61930683;3,729642905;2,157599878;2,622297267;3,421478821
717;29;5;4,44;12,98;92,7;122,4;;34,019;51,029;17,90566255;10,35472152;25,06035481;5,765613846;17,48233559;125,3745793;120,8888122;96,3958196;97,20072442;3,60098794;2,13193423;2,701122621;3,343652139
718;29;5,09;4,28;12,89;92,7;122,9;;34,019;51,029;17,96386662;10,35988407;25,10751991;5,889609991;17,22459532;125,6160192;121,1399587;97,43062417;98,24534174;3,67289505;2,059693595;2,601082439;3,538997379
719;29;5,11;4,34;12,52;92,7;122,3;;34,02;51,029;18,0126387;10,26133972;25,13049974;6,007565886;17,36419556;125,126928;120,5680137;97,25808812;98,31813398;3,676530517;2,096535979;2,552022545;3,34192258
720;29;4,9;4,33;12,56;92,2;122,9;;34,02;51,029;18,06047541;10,14032941;25,25041296;5,917075726;17,2501543;125,1793889;120,5329489;97,1072583;97,96543691;3,629867962;2,182029022;2,517560864;3,427881953
721;29;4,97;4,37;12,5;92,8;123,2;;34,02;51,029;18,00939657;10,20251605;25,35984481;5,989668466;17,40308221;125,3824086;120,8866123;96,80464075;97,50920024;3,754797974;2,041442023;2,412873265;3,38683411
722;29;5,07;4,4;12,03;92,4;123,8;;34,02;51,029;17,97571825;10,18020056;25,09260462;5,630011208;17,44948152;125,240208;120,5286001;96,51672291;97,37398835;3,650032919;2,185942856;2,72116011;3,434283681
723;29;5,16;4,3;11,63;92,7;123,2;;34,02;51,029;17,94582818;10,16894889;25,06693141;5,924100887;17,47797375;125,0478086;120,5842671;97,37928547;98,7397661;3,75351727;2,202620363;2,595769601;3,391599326
724;29;5,01;4,32;11,19;92,9;123,1;;34,02;51,029;17,90426508;10,4257661;25,20758036;5,771905364;17,48238056;125,39989;121,0084267;96,65884041;97,28910291;3,606458703;1,944134689;2,626993424;3,455288058
725;29;5,03;4,29;10,82;93,4;123,1;;34,019;51,029;17,95177469;10,27283233;24,87450713;5,653026316;17,37302885;125,6743023;121,046277;96,29774912;97,28122331;3,839073104;2,157739612;2,823128276;3,335665466
726;30;4,96;4,35;12,76;92,7;123,8;;34,02;;18,07872448;10,26720718;25,15633532;5,894184334;17,19084271;125,823194;121,1462052;96,93060629;97,92847404;3,75847743;2,060703824;2,586119783;3,41299316
727;30;5,08;4,35;12,57;93,3;123,7;;34,02;;18,08047567;10,24928249;25,3640557;6,004617909;17,41840329;125,1719943;120,645238;97,12879396;97,62600253;3,644576388;2,034740342;2,43861283;3,375519977
728;30;5,29;4,38;12,4;93,5;124,1;;34,02;;18,24433733;10,1928881;24,93796404;5,787354969;17,26610194;125,7560682;120,7627788;97,05251735;97,78406767;3,694912179;2,344918507;2,627544512;3,404412298
729;30;5,56;4,44;12,41;93,7;124;;34,019;;18,12107177;10,29249988;25,18982382;5,949162684;17,26323622;126,0124502;121,1205479;97,33527155;97,8082051;3,795448417;2,032379436;2,610108799;3,2770886
730;30;5,2;4,47;11,76;93,6;123,7;;34,02;;5,689151137;18,29029839;14,36958613;4,038117347;6,460537665;125,4105358;121,0337271;136,3433301;97,67403545;4,705816593;1,854519782;0,426631805;3,359698828
731;30;5,23;4,32;11,75;93,6;124,1;;34,02;;18,07707524;10,19574358;25,0946947;5,979788299;17,15748568;125,8164739;120,8890712;97,91793899;98,70609661;3,758890167;2,213898426;2,529221396;3,462655085
732;30;5,04;4,39;11,16;94,1;124,3;;34,02;;18,10314599;10,31471562;25,07303041;5,879056387;17,37056538;125,5234682;120,773682;97,09505447;97,9758053;3,592396079;2,062289327;2,620129143;3,376182751
733;30;5,29;4,49;10,93;94,1;124,2;;34,02;;18,17192477;10,22251074;25,26172835;6,052323613;17,41894026;125,75809;121,0740866;97,44996447;98,52174762;3,732544863;2,061464637;2,456448021;3,38539691
734;30;5,24;4,33;10,91;93,9;124,9;;34,019;;18,13182797;10,20234616;25,02121982;5,629646866;17,30516445;125,6434088;120,8722039;96,26700582;97,25827204;3,701792502;2,165530619;2,745285433;3,380305408
735;30;5,18;4,3;11,65;93,9;124,2;;34,02;;18,07655107;10,23494162;24,87520072;5,971398667;17,26064654;125,8655964;121,232369;97,44194542;98,40441776;3,770761787;2,271817082;2,690574863;3,395425297
736;30;5,36;4,35;12,01;94,3;124,4;;34,02;;18,18898976;10,27485784;25,06324176;5,856310571;17,37182745;125,8708234;120,932366;96,67062336;97,49486008;3,64042283;2,146900187;2,61808183;3,305038074
737;30;5,32;4,41;12;94,1;124,9;;34,02;;18,13880001;10,2092167;25,29693583;5,861894802;17,41964715;125,6152439;120,883942;96,71909962;97,36346373;3,744412482;1,996203243;2,547790312;3,369307748
738;30;5,14;4,34;11,86;94,1;125,8;;34,02;;18,07107075;10,14659407;25,02184994;5,865458942;17,30968987;125,7563939;121,1022807;97,09487434;98,23617918;3,718075007;2,185953711;2,689679141;3,376589322
739;30;5,32;4,45;11,77;94,2;125;;34,02;;18,10938373;10,2479034;25,1017974;5,92171943;17,34558341;125,6831218;120,7969757;97,02138281;97,88086808;3,736150155;2,162441403;2,487602596;3,33910099
740;30;5,1;4,35;11,89;94,8;125,3;;34,02;;17,96101762;10,24624951;25,10643867;5,750769497;17,19215517;125,3962545;120,7452452;96,70268586;97,5205014;3,735640018;2,08192746;2,684131664;3,376132727
